aiopg<1,>=0.13.2
oauth2<1.10,>=1.9.0.post1
peewee<3,>=2.10.2
peewee-async<0.6,>=0.5.12
prometheus-client<1,>=0.3.0
pyTelegramBotAPI<3.7,>=3.6.5
raven<6.10,>=6.9.0
requests<3,>=2.19
tornado<6,>=5.1
ua-parser<1,>=0.8.0
urllib3<2,>=1.22
google-auth<1.6,>=1.5.0
pytz>=2018.5
aioredis<1.2,>=1.1.0
asgiref<2.4,>=2.3.2
