tab 	samples
azimuth	bed_dip	bed_dip_direction	citations	dip	lat	location	lon	method_codes	sample	site	software_packages
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk118	mk11	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk120	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk121	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk123	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk124	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk125	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk127	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk129	mk12	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk130	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk131	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk133	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk134	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk135	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk136	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk137	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk138	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk139	mk13	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk232	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk234	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk235	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk236	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk238	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk239	mk23	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk240	mk24	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk242	mk24	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk244	mk24	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk245	mk24	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk448	mk44	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk449	mk44	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk450	mk45	pmagpy-4.1.5
0	0	0	This study	0	35.23788	unknown	32.92075	FS-FD:SO-POM:SO-SUN	mk451	mk45	pmagpy-4.1.5
