tab	measurements
measurement	experiment	specimen	dir_dec	dir_inc	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment
M5-110D:LP-DIR-T0	M5-110D:LP-DIR-T	M5-110D	197.6	28.4	0.000e+00	0	0	0	2.730e+02	This study	HUJI-2G	LT-NO:LP-DIR-T	g	0	u	1	2.730e+02			pmagpy-4.1.5	 1.420e-08
M5-110D:LP-DIR-T1	M5-110D:LP-DIR-T	M5-110D	292.1	47	0.000e+00	0	0	1	2.780e+02	This study	HUJI-2G	LT-NO:LP-DIR-T	g	1	u	1	2.730e+02			pmagpy-4.1.5	 7.570e-09
M5-110D:LP-DIR-T2	M5-110D:LP-DIR-T	M5-110D	316.3	36.7	0.000e+00	0	0	2	2.830e+02	This study	HUJI-2G	LT-NO:LP-DIR-T	g	2	u	1	2.730e+02			pmagpy-4.1.5	 5.940e-09
M5-110D:LP-DIR-T3	M5-110D:LP-DIR-T	M5-110D	316.7	31.6	0.000e+00	0	0	3	2.880e+02	This study	HUJI-2G	LT-NO:LP-DIR-T	g	3	u	1	2.730e+02			pmagpy-4.1.5	 4.510e-09
M5-110D:LP-DIR-T4	M5-110D:LP-DIR-T	M5-110D	316.8	34.2	0.000e+00	0	0	4	2.930e+02	This study	HUJI-2G	LT-NO:LP-DIR-T	g	4	u	1	2.730e+02			pmagpy-4.1.5	 3.050e-09
M5-110D:LP-DIR-T5	M5-110D:LP-DIR-T	M5-110D	306.9	33.6	0.000e+00	0	0	5	3.030e+02	This study	HUJI-2G	LT-LT-Z:LP-DIR-T	g	5	u	1	2.730e+02			pmagpy-4.1.5	 2.020e-09
M5-110D:LP-DIR-T6	M5-110D:LP-DIR-T	M5-110D	321.1	35.1	0.000e+00	0	0	6	3.130e+02	This study	HUJI-2G	LT-LT-Z:LP-DIR-T	g	6	u	1	2.730e+02			pmagpy-4.1.5	 1.190e-09
M5-110D:LP-DIR-T7	M5-110D:LP-DIR-T	M5-110D	303.1	28.8	0.000e+00	0	0	7	3.230e+02	This study	HUJI-2G	LT-T-Z:LP-DIR-T	g	7	u	1	2.730e+02			pmagpy-4.1.5	 1.250e-09
M5-110D:LP-DIR-T8	M5-110D:LP-DIR-T	M5-110D	305.5	20.3	0.000e+00	0	0	8	3.380e+02	This study	HUJI-2G	LT-T-Z:LP-DIR-T	g	8	u	1	2.730e+02			pmagpy-4.1.5	 5.830e-10
M5-110D:LP-DIR-T9	M5-110D:LP-DIR-T	M5-110D	310.4	1.9	0.000e+00	0	0	9	3.530e+02	This study	HUJI-2G	LT-T-Z:LP-DIR-T	g	9	u	1	2.730e+02			pmagpy-4.1.5	 7.080e-10
