tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
7325B71	7325B71	Wiess	This study	LP-NOMAG		
7325B72	7325B72	Wiess	This study	LP-NOMAG		
7325B73	7325B73	Wiess	This study	LP-NOMAG		
7325B74	7325B74	Wiess	This study	LP-NOMAG		
7325B75	7325B75	Wiess	This study	LP-NOMAG		
7325B76	7325B76	Wiess	This study	LP-NOMAG		
7325B77	7325B77	Wiess	This study	LP-NOMAG		
7325B78	7325B78	Wiess	This study	LP-NOMAG		
7325B79	7325B79	Wiess	This study	LP-NOMAG		
