tab 	measurements
analysts	citations	description	experiment	instrument_codes	location	meas_field_ac	meas_temp	measurement	method_codes	quality	sample	site	specimen	standard	susc_chi_volume	timestamp
	This study	Bulk measurement	318-U1359B-011H-1-W-75:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-1-W-75	318-U1359B-011H-1-W-7	318-U1359B-011H-1-W-75	u	1.26728E-4	2011:11:04:12:54
	This study	Bulk measurement	318-U1359B-011H-2-W-76:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-2-W-76	318-U1359B-011H-2-W-7	318-U1359B-011H-2-W-76	u	7.85130E-5	2011:11:04:12:57
	This study	Bulk measurement	318-U1359B-011H-3-W-78:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-3-W-78	318-U1359B-011H-3-W-7	318-U1359B-011H-3-W-78	u	1.04700E-4	2011:11:04:13:00
	This study	Bulk measurement	318-U1359B-011H-4-W-96:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-4-W-96	318-U1359B-011H-4-W-9	318-U1359B-011H-4-W-96	u	8.31158E-5	2011:11:04:13:03
	This study	Bulk measurement	318-U1359B-011H-5-W-88:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-5-W-88	318-U1359B-011H-5-W-8	318-U1359B-011H-5-W-88	u	7.79709E-5	2011:11:04:13:07
	This study	Bulk measurement	318-U1359B-011H-6-W-60:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-011H-6-W-60	318-U1359B-011H-6-W-6	318-U1359B-011H-6-W-60	u	1.02466E-4	2011:11:04:13:09
	This study	Bulk measurement	318-U1359B-012H-1-W-68:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-012H-1-W-68	318-U1359B-012H-1-W-6	318-U1359B-012H-1-W-68	u	7.12399E-5	2011:11:04:13:12
	This study	Bulk measurement	318-U1359B-012H-2-W-83:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-012H-2-W-83	318-U1359B-012H-2-W-8	318-U1359B-012H-2-W-83	u	6.77541E-5	2011:11:04:13:15
	This study	Bulk measurement	318-U1359B-012H-3-W-87:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-012H-3-W-87	318-U1359B-012H-3-W-8	318-U1359B-012H-3-W-87	u	8.51378E-5	2011:11:04:13:18
	This study	Bulk measurement	318-U1359B-012H-4-W-82:LP-AN-MS	SIO-KLY4S	unknown	3.770e-04	300	1	LP-X	g	318-U1359B-012H-4-W-82	318-U1359B-012H-4-W-8	318-U1359B-012H-4-W-82	u	6.85417E-5	2011:11:04:13:21
