tab 	measurements
analysts	citations	experiment	instrument_codes	location	magn_uncal	meas_temp	measurement	method_codes	quality	sample	sequence	site	software_packages	specimen	treat_dc_field
	This study	unknown:LP-NO		unknown	4.069e+00	4.112e+02	unknown:LP-NO_1	LP-NO	g	unknown	1	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.071e+00	4.122e+02	unknown:LP-MW-I:Curie_2	LP-MW-I	g	unknown	2	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.072e+00	4.132e+02	unknown:LP-MW-I:Curie_3	LP-MW-I	g	unknown	3	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.072e+00	4.142e+02	unknown:LP-MW-I:Curie_4	LP-MW-I	g	unknown	4	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.071e+00	4.152e+02	unknown:LP-MW-I:Curie_5	LP-MW-I	g	unknown	5	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.068e+00	4.162e+02	unknown:LP-MW-I:Curie_6	LP-MW-I	g	unknown	6	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.063e+00	4.172e+02	unknown:LP-MW-I:Curie_7	LP-MW-I	g	unknown	7	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.057e+00	4.182e+02	unknown:LP-MW-I:Curie_8	LP-MW-I	g	unknown	8	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.051e+00	4.192e+02	unknown:LP-MW-I:Curie_9	LP-MW-I	g	unknown	9	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.045e+00	4.202e+02	unknown:LP-MW-I:Curie_10	LP-MW-I	g	unknown	10	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.041e+00	4.212e+02	unknown:LP-MW-I:Curie_11	LP-MW-I	g	unknown	11	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.039e+00	4.222e+02	unknown:LP-MW-I:Curie_12	LP-MW-I	g	unknown	12	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.039e+00	4.232e+02	unknown:LP-MW-I:Curie_13	LP-MW-I	g	unknown	13	unknow	pmagpy-4.1.5	unknown	0.5
	This study	unknown:LP-MW-I:Curie		unknown	4.040e+00	4.242e+02	unknown:LP-MW-I:Curie_14	LP-MW-I	g	unknown	14	unknow	pmagpy-4.1.5	unknown	0.5
