tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	magn_moment	magn_volume	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	timestamp	treat_ac_field	treat_step_num	treat_temp
This study	Date: 08.09.2015 Time: 15:02:09	0.0	343.5811715709867	73.33155215489033	15HHA1-2A:LP-DIR-T	1.501074245332322e-08	0.0010424126703696681	1	2.730e+02	15HHA1-2A:LP-DIR-T0	LT-NO:LP-DIR-T	g	0	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:02:09Z	0	0	2.730e+02
This study	Date: 08.09.2015 Time: 15:17:55	0.0	343.7551230738181	73.2748223184019	15HHA1-2A:LP-DIR-T	1.5067409797307564e-08	0.001046347902590803	1	2.730e+02	15HHA1-2A:LP-DIR-T1	LT-NO:LP-DIR-T	g	1	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:17:55Z	0.000e+00	1	2.730e+02
This study	Date: 08.09.2015 Time: 15:19:44	0.0	341.6950913067469	73.94034292329809	15HHA1-2A:LP-DIR-T	1.2591389319689865e-08	0.000874402036089574	1	2.730e+02	15HHA1-2A:LP-DIR-T2	LT-AF-Z:LP-DIR-T	g	2	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:19:44Z	3.000e-03	2	2.730e+02
This study	Date: 08.09.2015 Time: 15:21:34	0.0	342.37623747786597	73.52868068256281	15HHA1-2A:LP-DIR-T	1.0824206097446594e-08	0.0007516809789893469	1	2.730e+02	15HHA1-2A:LP-DIR-T3	LT-AF-Z:LP-DIR-T	g	3	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:21:34Z	6.000e-03	3	2.730e+02
This study	Date: 08.09.2015 Time: 15:23:19	0.0	337.80454047132105	73.41694215310591	15HHA1-2A:LP-DIR-T	9.17668580479903e-09	0.0006372698475554882	1	2.730e+02	15HHA1-2A:LP-DIR-T4	LT-AF-Z:LP-DIR-T	g	4	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:23:19Z	9.000e-03	4	2.730e+02
This study	Date: 08.09.2015 Time: 15:25:16	0.0	334.030979298235	72.75745517738567	15HHA1-2A:LP-DIR-T	7.628851882164184e-09	0.0005297813807058461	1	2.730e+02	15HHA1-2A:LP-DIR-T5	LT-AF-Z:LP-DIR-T	g	5	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:25:16Z	1.200e-02	5	2.730e+02
This study	Date: 08.09.2015 Time: 15:27:14	0.0	328.1395611630329	73.12359577079721	15HHA1-2A:LP-DIR-T	7.36101521530828e-09	0.0005111816121741861	1	2.730e+02	15HHA1-2A:LP-DIR-T6	LT-AF-Z:LP-DIR-T	g	6	pmagpy-4.1.5	15HHA1-2A	u	2015-09-08T22:27:14Z	1.500e-02	6	2.730e+02
This study	Date: 14.09.2015 Time: 16:04:40	0.0	329.39039328565497	73.70303412592472	15HHA1-2A:LP-DIR-T	6.575190130330833e-09	0.000456610425717419	1	2.730e+02	15HHA1-2A:LP-DIR-T7	LT-T-Z:LP-DIR-T	g	7	pmagpy-4.1.5	15HHA1-2A	u	2015-09-14T23:04:40Z	0	7	3.630e+02
This study	average of multiple measurements	    0.3	  333.1	   70.6	15HHA1-2A:LP-DIR-T	5.074e-09	0.00035531856854975933	    2.0	2.730e+02	15HHA1-2A:LP-DIR-T8	LT-T-Z:DE-VM:LP-DIR-T	g	8	pmagpy-4.1.5	15HHA1-2A	u	2015-09-15T20:08:12Z	0	8	4.230e+02
This study	Date: 15.09.2015 Time: 18:06:55	0.0	337.42297300996853	71.40418818075682	15HHA1-2A:LP-DIR-T	3.6780232584908976e-09	0.0002554182818396457	1	2.730e+02	15HHA1-2A:LP-DIR-T9	LT-T-Z:LP-DIR-T	g	9	pmagpy-4.1.5	15HHA1-2A	u	2015-09-16T01:06:55Z	0	9	4.530e+02
This study	average of multiple measurements	    0.6	  356.6	   66.4	15HHA1-2A:LP-DIR-T	2.642e-09	0.0001840589522861267	    2.0	2.730e+02	15HHA1-2A:LP-DIR-T10	LT-T-Z:DE-VM:LP-DIR-T	g	10	pmagpy-4.1.5	15HHA1-2A	u	2015-09-16T19:50:09Z	0	10	4.840e+02
This study	average of multiple measurements	  101.9	   15.4	   64.5	15HHA1-2A:LP-DIR-T	1.021e-09	0.0001835789238379189	    2.0	2.730e+02	15HHA1-2A:LP-DIR-T11	LT-NO:DE-VM:LP-DIR-T	g	11	pmagpy-4.1.5	15HHA1-2A	u	2015-09-18T04:18:59Z	0	11	2.730e+02
This study	Date: 17.09.2015 Time: 21:21:20	0.0	335.2298505533774	65.72391511544704	15HHA1-2A:LP-DIR-T	2.5351727455934832e-09	0.00017605366288843635	1	2.730e+02	15HHA1-2A:LP-DIR-T12	LT-AF-Z:LP-DIR-T	g	12	pmagpy-4.1.5	15HHA1-2A	u	2015-09-18T04:21:20Z	2.000e-02	12	2.730e+02
