tab	measurements
description	experiment	institution	instrument_codes	magn_moment	meas_field_dc	meas_temp	measurement	method_codes	quality	sequence	software_packages	specimen	standard	treat_dc_field	treat_step_num	treat_temp
	myspec:LP-HYS			45.76	1.2009999999999998	273	myspec:LP-HYS1	LP-HYS	g	0	pmagpy-4.1.5	myspec	u	0	1	273
	myspec:LP-HYS			45.75	1.196	273	myspec:LP-HYS2	LP-HYS	g	1	pmagpy-4.1.5	myspec	u	0	2	273
	myspec:LP-HYS			45.52	1.18	273	myspec:LP-HYS3	LP-HYS	g	2	pmagpy-4.1.5	myspec	u	0	3	273
	myspec:LP-HYS			45.26	1.163	273	myspec:LP-HYS4	LP-HYS	g	3	pmagpy-4.1.5	myspec	u	0	4	273
	myspec:LP-HYS			45.08	1.145	273	myspec:LP-HYS5	LP-HYS	g	4	pmagpy-4.1.5	myspec	u	0	5	273
	myspec:LP-HYS			44.8	1.128	273	myspec:LP-HYS6	LP-HYS	g	5	pmagpy-4.1.5	myspec	u	0	6	273
	myspec:LP-HYS			44.56	1.111	273	myspec:LP-HYS7	LP-HYS	g	6	pmagpy-4.1.5	myspec	u	0	7	273
	myspec:LP-HYS			44.33	1.094	273	myspec:LP-HYS8	LP-HYS	g	7	pmagpy-4.1.5	myspec	u	0	8	273
	myspec:LP-HYS			44.06	1.077	273	myspec:LP-HYS9	LP-HYS	g	8	pmagpy-4.1.5	myspec	u	0	9	273
	myspec:LP-HYS			43.86	1.0590000000000002	273	myspec:LP-HYS10	LP-HYS	g	9	pmagpy-4.1.5	myspec	u	0	10	273
	myspec:LP-HYS			43.66	1.042	273	myspec:LP-HYS11	LP-HYS	g	10	pmagpy-4.1.5	myspec	u	0	11	273
	myspec:LP-HYS			43.39	1.025	273	myspec:LP-HYS12	LP-HYS	g	11	pmagpy-4.1.5	myspec	u	0	12	273
	myspec:LP-HYS			43.13	1.008	273	myspec:LP-HYS13	LP-HYS	g	12	pmagpy-4.1.5	myspec	u	0	13	273
