tab	specimens
specimen	sample	analysts	citations	volume
AP12-01A	AP12-01	Roi	This study	1.2e-05
AP12-02A	AP12-02	Roi	This study	1.2e-05
AP12-03A	AP12-03	Roi	This study	1.2e-05
AP12-04A	AP12-04	Roi	This study	1.2e-05
AP12-05A	AP12-05	Roi	This study	1.2e-05
AP12-06A	AP12-06	Roi	This study	1.2e-05
AP12-01B	AP12-01	Roi	This study	1.2e-05
AP12-03B	AP12-03	Roi	This study	1.2e-05
AP12-06B	AP12-06	Roi	This study	1.2e-05
