tab	specimens
specimen	sample	analysts	citations	volume
SML0101	SML010	Anita	This study	1.2e-05
SML0102	SML010	Anita	This study	1.2e-05
SML0103	SML010	Anita	This study	1.2e-05
SML0109	SML010	Anita	This study	1.2e-05
SML0110	SML011	Anita	This study	1.2e-05
SML0111	SML011	Anita	This study	1.2e-05
SML0112	SML011	Anita	This study	1.2e-05
SML0113	SML011	Anita	This study	1.2e-05
SML0114	SML011	Anita	This study	1.2e-05
SML0115	SML011	Anita	This study	1.2e-05
